Assettype Quantity,Associatedgsp,Bulk supply point,Connectivity Voltage(kv),Constraint description,Constraint occurrence year,Constraint season,Current status,Customers served,Dnoa result,Dnoa result description,Dnoa result history 2023,Dnoa result history 2024,Dnoa result history 2025,Deviation,Deviation Percentage,ECR < 1MVA Accepted to connect,ECR < 1MVA Already connected,ECR > 1MVA Accepted to connect,ECR > 1MVA Already connected,Expectedcompletionyear,Expectedstartyear,Firm Capacity,Flexibility procurement 2024/25,Flexibility procurement 2025/26,Flexibility procurement 2026/27,Flexibility procurement 2027/28,Flexibility procurement 2028/29,Generation Capacity,Generation Headroom Mw,Grid supply point,Justification,Ltdsname,Site,Spare Summer,Spare Winter,Substation title,Substation Or Circuit,Total gen <1 (mw),Total gen >1 (mw),Total Ecr Capacity,Traditional solution,Transformer 1 Summer,Transformer 1 Winter,Transformer 2 Summer,Transformer 2 Winter,Transformer 3 Summer,Transformer 3 Winter,Transformer 4 Summer,Transformer 4 Winter,Transformer 5 Summer,Transformer 5 Winter,Transformer 6 Summer,Transformer 6 Winter,Transformer 7 Summer,Transformer 7 Winter,Transformer 8 Summer,Transformer 8 Winter,Type,Assessment Date,Asset Export Limit,Asset Import Limit,Calculated Resistance,County,Date Commissioned,Easting,Grid Reference,Installed Capacity MVA,Last Report,Licence Area,Local Authority,Local Authority Code,Max Demand Summer,Max Demand Winter,Maximum Observed Power Flow,Measured Resistance (Ohm),Minimum Observed Power Flow,Next Assessment Date,Northing,Postcode,Power Transformer Count,Reverse Power,Site Classification,Site Functional Location,Site Name,Site Type,Site Voltage,Spatial Coordinates,Street,Suburb,Technical Limit Export,Technical Limit Import Access Period,Technical Limit Import Summer,Technical Limit Import Winter,Town City,Transformer Rating Summer,Transformer Rating Winter,What3Words
,,Trowse Grid 33kV,,,,,,,,,,,,Yes,5.06329113924051,0.0,0.048,0.0,3.75,,,11.52,,,,,,6.0,2.202,Norwich Main,,,,4.8,5.95,,,0.048,3.75,3.798,,12.0,15.0,12.0,15.0,,,,,,,,,,,,,,2023-08-21,0.0,0.0,1.20Ω 0.00Deg,Norfolk,1964-04-01,620710,TG20710122,3.95,ELP09143,Eastern Power Networks (EPN),South Norfolk,E07000149,7,8.8,0.0,0.62,0.0,2029-11-26,301220,NR14 8DS,2,<100%,HOT,EPN-S0000000H5022,MULBARTON PRIMARY 33/11kV,Primary Substation,33,"52.5640147325315, 1.25498546739366",\N,\N,0.0,0.0,0.0,0.0,MULBARTON,"12, 12","15, 15",limp.capers.rainwater
,,Thorpe Grid 33kV,,,,,,,,,,,,No,0.0,0.79296,0.19967999999999997,0.0,0.0,,,9.6,,,,,,10.0,9.00736,Norwich,,,,3.36,5.86,,,0.99264,0.0,0.99264,,10.0,13.0,10.0,13.0,,,,,,,,,,,,,,2008-12-11,663.0,960.0,NA,Norfolk,1955-04-01,630250,TG30251860,0.0,BPI 11-12-2008,Eastern Power Networks (EPN),North Norfolk,E07000147,6.5,6.9,452.2,0.12,-538.22,2029-11-26,318600,NR12 8UT,2,100%,COLD,EPN-S0000000H5025,WROXHAM PRIMARY 33/11kV,Primary Substation,33,"52.7160309782067, 1.40758883664194",\N,\N,538.2,394.1,326.1,456.4,HOVETON,"10, 10","13, 13",inversely.inclines.quaking
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,17.28,,,,,,18.0,18.0,,,,,11.04,14.78,,,0.0,0.0,0.0,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2013-12-19,0.0,0.0,0.79Ω 0.00Deg,Norfolk,1988-04-01,623662,TG2366209421,0.0,P-13-3260-01,Eastern Power Networks (EPN),Norwich,E07000148,6.5,8.6,0.0,\N,0.0,2029-11-26,309421,NR3 1LY,2,100%,COLD,EPN-S0000000H5042,BARRACK ST PRIMARY 33/11kV,Primary Substation,33,"52.6364131034379, 1.30400072251415",\N,\N,0.0,0.0,0.0,0.0,NORWICH NR3,"18, 18","24, 24",parade.parts.basis
,,Earlham Grid 33kV,,,,,,,,,,,,No,4.977099236641216,0.0,0.14400000000000002,0.0,6.224,,,20.16,,,,,,21.0,14.632,Norwich Main,,,,9.5,12.96,,,0.14400000000000002,6.224,6.368,,21.0,27.0,21.0,27.0,,,,,,,,,,,,,,2014-12-22,0.0,0.0,1.85Ω 0.00Deg,Norfolk,1963-04-01,619770,TG19770853,6.55,P-13-3190-01,Eastern Power Networks (EPN),Norwich,E07000148,11.1,13.5,0.0,0.16,0.0,2030-11-26,308530,NR5 8HN,2,100%,COLD,EPN-S0000000H5050,EARLHAM WEST PRIMARY 33/11kV,Primary Substation,33,"52.6300048016527, 1.24599087483737",\N,\N,0.0,0.0,0.0,0.0,NORWICH NR5,"21, 21","27, 27",sunset.beam.bids
,,Thorpe Grid 33kV,,,,,,,,,,,,No,0.0,0.333456,0.24,0.0,0.0,,,16.32,,,,,,17.0,16.426544,Norwich,,,,4.7,7.3,,,0.573456,0.0,0.573456,,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,2013-12-20,663.0,960.0,0.41Ω 0.00Deg,Norfolk,1965-04-01,623372,TG2337211728,0.0,P-13-3249-01,Eastern Power Networks (EPN),Broadland,E07000144,12.1,15.4,452.2,\N,-538.22,2029-11-26,311728,NR6 7NQ,2,100%,COLD,EPN-S0000000H5052,GEORGE HILL PRIMARY 33/11kV,Primary Substation,33,"52.6572372532096, 1.30128299227045",JUNCTION SPIXWORTH ROAD,\N,538.2,394.1,326.1,456.4,OLD CATTON,"17, 17","23, 23",shaky.bands.under
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,17.28,,,,,,18.0,18.0,,,,,4.7,6.53,,,0.0,0.0,0.0,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2013-12-20,0.0,0.0,1.17Ω 0.00Deg,Norfolk,1986-04-01,625203,TG2520310077,0.0,P-13-3246-01,Eastern Power Networks (EPN),Norwich,E07000148,13.1,17.2,0.0,\N,0.0,2029-11-26,310077,NR7 9NT,2,100%,HOT,EPN-S0000000H5057,MOUSEHOLD PRIMARY 33/11kV,Primary Substation,33,"52.6416637087557, 1.32718019959499",\N,\N,0.0,0.0,0.0,0.0,NORWICH NR3,"18, 18","24, 24",scary.certified.demand
,,Sall Grid 33kV,,,,,,,,,,,,No,0.0,1.0544639999999998,1.9116288000000003,0.0,0.0,,,17.28,,,,,,18.0,15.0339072,Norwich,,,,11.33,14.78,,,2.9660928,0.0,2.9660928,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2013-03-18,663.0,960.0,NA,Norfolk,1961-04-01,612636,TG1263624190,0.0,P-13-2414-02,Eastern Power Networks (EPN),Broadland,E07000144,6.2,8.6,452.2,0.11,-538.22,2028-11-26,324190,NR10 4BD,2,100%,COLD,EPN-S0000000H5069,SALL 33/11kV,Primary Substation,33,"52.7734089482752, 1.1508670612144",\N,\N,538.2,394.1,326.1,456.4,CAWSTON,"18, 18","24, 24",jetted.importers.devoured
,,Thorpe Grid 33kV,,,,,,,,,,,,No,0.0,0.6384,0.0,0.0,0.0,,,10.56,,,,,,5.5,4.8616,Norwich,,,,3.94,6.05,,,0.6384,0.0,0.6384,,11.0,15.0,11.0,15.0,,,,,,,,,,,,,,2013-12-20,663.0,960.0,0.39Ω 0.00Deg,Norfolk,1936-04-01,625690,TG25691197,0.0,P-13-3254-01,Eastern Power Networks (EPN),Broadland,E07000144,6.9,8.7,452.2,\N,-538.22,2029-11-26,311970,NR7 8RX,2,<100%,HOT,EPN-S0000000H5070,SPROWSTON PRIMARY 33/11kV,Primary Substation,33,"52.6584501996926, 1.33565892152503",\N,\N,538.2,394.1,326.1,456.4,SPROWSTON,"11, 11","15, 15",purple.cheeks.parent
,,Hempton Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,17.28,,,,,,18.0,18.0,Walpole,,,,10.94,15.65,,,0.0,0.0,0.0,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2013-11-06,960.0,960.0,NA,Norfolk,1976-04-01,568040,TF68044063,0.0,P-13-3053-01,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,6.6,7.7,337.91,0.15,-382.73,2030-11-26,340630,PE36 5HY,2,100%,COLD,EPN-S0000000H6006,HUNSTANTON PRIMARY 33/11kV,Primary Substation,33,"52.9367629574931, 0.498979149271156",\N,\N,0.0,0.0,0.0,0.0,HUNSTANTON,"18, 18","24, 24",important.shelter.investor
,,Walsoken Grid 33kV,,,,,,,,,,,,No,0.0,0.31679999999999997,0.288192,0.0,0.0,,,17.28,,,,,,18.0,17.395008,Walpole,,,,6.34,7.78,,,0.604992,0.0,0.604992,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2013-08-09,960.0,960.0,0.33Ω 0.00Deg,Cambridgeshire,1991-04-01,544990,TF44991088,0.0,P-13-2788-01,Eastern Power Networks (EPN),Fenland,E07000010,11.4,15.9,337.91,\N,-382.73,2028-11-26,310880,PE13 5DL,2,100%,HOT,EPN-S0000000H6008,LEVERINGTON PRIMARY 33/11kV,Primary Substation,33,"52.6762296925641, 0.143095856407904",LITTLE DOWGATE,\N,0.0,0.0,0.0,0.0,LEVERINGTON,"18, 18","24, 24",included.underway.thudding
,,Kings Lynn South Grid 33kV,,,,,,,,,,,,No,4.988123515439429,0.0,0.2928,0.0,4.0,,,17.28,,,,,,18.0,13.7072,Walpole,,,,7.1,12.48,,,0.2928,4.0,4.2928,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2013-05-14,960.0,960.0,NA,Norfolk,1954-04-01,560400,TF60400380,4.21,P-13-2502-01,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,10.6,11,337.91,0.09,-382.73,2028-11-26,303800,PE38 9HB,2,100%,COLD,EPN-S0000000H6015,DOWNHAM MARKET PRIMARY 33/11kV,Primary Substation,33,"52.6082992786594, 0.36738414032717",\N,\N,0.0,0.0,0.0,0.0,DOWNHAM MARKET,"18, 18","24, 24",crop.backward.watchdogs
,,March Grid 33kV,,The site is expected to be overloaded under an N-1 outage condition due to limited transformer capacity.,2026,Summer,Flexibility procurement,12649.0,Flexibility,We have partially fulfilled the system needs through our Autumn 2024 flexibility tender. We will continue procuring flexibility in the next events to fulfil the system needs.,Flexibility,Flexibility,Flexibility,No,4.805737931034471,0.3072,5.214067200000001,0.0,5.506,,,17.28,\N,>100%,80%,\N,\N,18.0,6.972732799999999,Walpole,,,Single site,2.11,5.76,March Primary,,5.5212672000000005,5.506,11.0272672,In order to increase capacity at the site the traditional solution is to install a 33/11 kV transformer at March Grid 132/33 kV site.,18.0,24.0,18.0,24.0,,,,,,,,,,,,,Demand,2011-08-16,960.0,960.0,0.11Ω 0.00Deg,Cambridgeshire,1973-04-01,541530,TL4153096625,5.8,P-10-696-124,Eastern Power Networks (EPN),Fenland,E07000010,15.8,18,337.91,\N,-382.73,2028-11-26,296625,PE15 9LT,2,100%,COLD,EPN-S0000000H6029,MARCH PRIMARY 33/11kV,Primary Substation,33,"52.5490797871529, 0.0858604926141099",\N,\N,0.0,0.0,0.0,0.0,MARCH,"18, 18","24, 24",coconut.fidelity.stickler
,,Kings Lynn South Grid 33kV,,,,,,,,,,,,No,0.0,0.4416,0.048,0.0,0.0,,,11.52,,,,,,12.0,11.5104,Walpole,,,,8.45,9.41,,,0.4896,0.0,0.4896,,12.0,15.0,,,,,,,,,,,,,,,,2006-06-30,960.0,960.0,NA,Norfolk,1969-04-01,563241,TF6324110408,0.0,BPI 30-06-2006,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,3.2,5.2,337.91,0.21,-382.73,2028-11-26,310408,PE33 0HL,1,100%,COLD,EPN-S0000000H6030,WATLINGTON PRIMARY 33/11kV,Primary Substation,33,"52.6668052159131, 0.412564926230026",THIEVES BRIDGE ROAD,WATLINGTON,0.0,0.0,0.0,0.0,KINGS LYNN,12,15,inclined.rounds.awestruck
,,Walsoken Grid 33kV,,"The site has a single transformer, and it is expected to be overloaded under an N-1 outage condition due to limited interconnection capacity.",2025,Winter,Flexibility procurement,2758.0,Flexibility,We were not able to procure sufficient flexibility for the first year through our Autumn 2024 flexibility tender. The procured flexibility will reduce the need to a level that can be managed via network adjustment . We aim to procure procure more flexibility in the upcoming tender events.,\N,Reinforcement + Flexibility,Flexibility,No,0.0,0.0,0.13440000000000002,0.0,0.0,,,4.8,20%,20%,<10%,\N,\N,2.5,2.3656,Walpole,,,Single site,1.63,1.73,Stickfast Lane,,0.13440000000000002,0.0,0.13440000000000002,In order to increase capacity at the site the traditional solution is to install a new transformer at 33/11 kV substation or an existing reserved site.,5.0,7.0,,,,,,,,,,,,,,,Demand,2014-06-04,960.0,960.0,0.12Ω 0.00Deg,Norfolk,1960-04-01,549840,TF4984017117,0.0,ESL0042-11867,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,3.3,5.2,337.91,\N,-382.73,2028-11-30,317117,PE14 7LF,1,<100%,COLD,EPN-S0000000H6068,STICKFAST LN PRIMARY 33/11kV,Primary Substation,33,"52.7309379164171, 0.217613367623211",\N,\N,0.0,0.0,0.0,0.0,WALPOLE ST ANDREW,5,7,roadshow.stream.stables
,,Peterborough Central 33kV,,,,,,,,,,,,Yes,19.570675409836078,1.82688,1.8200256,0.0,2.9,,,12.48,,,,,,14.0,7.4530944,Walpole,,,,3.36,4.22,,,3.6469056,2.9,6.5469056000000005,,14.0,18.0,13.0,17.0,,,,,,,,,,,,,,2011-07-21,960.0,960.0,NA,Cambridgeshire,1954-04-01,526565,TL2656596393,3.05,P-11-1151,Eastern Power Networks (EPN),Fenland,E07000010,9.5,12.6,337.91,0.12,-382.73,2028-11-26,296393,PE7 2AA,2,100%,COLD,EPN-S0000000H6070,WHITTLESEY PRIMARY 33/11kV,Primary Substation,33,"52.5506766817983, -0.134797847149669",\N,\N,0.0,0.0,0.0,0.0,WHITTLESEY,"14, 13","18, 17",attending.bongo.postcard
,,Kings Lynn Grid  33kV,,,,,,,,,,,,No,0.0,0.192,0.6558624,0.0,0.0,,,17.28,,,,,,18.0,17.1521376,Walpole,,,,5.38,9.6,,,0.8478623999999999,0.0,0.8478623999999999,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2017-05-09,960.0,960.0,0.18Ω 0.00Deg,Norfolk,1964-04-01,563950,TF63952140,0.0,ESL1992019-R01,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,12.4,14,337.91,0.05,-382.73,2030-11-26,321400,PE30 3BW,2,100%,COLD,EPN-S0000000H6072,GAYWOOD BRIDGE PRIMARY 33/11kV,Primary Substation,33,"52.7653164863162, 0.428518467436399",\N,\N,0.0,0.0,0.0,0.0,KINGS LYNN,"18, 18","24, 24",expectant.thinkers.acrobats
,,Swaffham Grid 33kV,,,,,,,,,,,,No,4.940119760479043,1.99176,1.2959040000000002,7.5,5.2,,,17.28,,,,,,18.0,2.0123360000000012,Walpole,,,,9.22,13.63,,,3.2876640000000004,12.7,15.987663999999999,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2015-07-28,960.0,960.0,2.07Ω 0.00Deg,Norfolk,1998-04-01,573750,TL73759790,13.36,ESL0951002-R01 RC,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,8.4,9.8,337.91,0.62,-382.73,2030-11-26,297900,IP26 5LQ,2,100%,HOT,EPN-S0000000H6075,NORTHWOLD PRIMARY 33/11kV,Primary Substation,33,"52.5512106810433, 0.56124150674349",\N,\N,0.0,0.0,0.0,0.0,NORTHWOLD,"18, 18","24, 24",sublime.flickers.lied
,,Walsoken Grid 33kV,,,,,,,,,,,,No,0.0,0.48,0.192,0.0,0.0,,,17.28,,,,,,18.0,17.328,Walpole,,,,9.02,13.15,,,0.6719999999999999,0.0,0.6719999999999999,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2012-01-20,960.0,960.0,NA,Cambridgeshire,1965-04-01,548230,TF48230925,0.0,P-11-1338-02,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,8.6,10.3,337.91,0.08,-382.73,2028-11-26,309250,PE14 7BQ,2,100%,COLD,EPN-S0000000H6077,WALSOKEN GRID 33/11kV,Primary Substation,33,"52.6607115379039, 0.19024815471233",\N,\N,0.0,0.0,0.0,0.0,WISBECH,"18, 18","24, 24",chins.waddle.passively
,,Hornchurch Grid 33kV,,,,,,,,,,,,No,0.0,0.1152,0.048,0.0,0.0,,,28.8,,,,,,30.0,29.8368,Warley,,,,25.34,31.39,,,0.1632,0.0,0.1632,,30.0,40.0,30.0,40.0,,,,,,,,,,,,,,2021-06-14,240.0,480.0,2.17Ω 0.00Deg,Essex,1960-04-01,550300,TQ5030089659,0.0,ELP05282028-R01,Eastern Power Networks (EPN),Havering,E09000016,3.6,7.3,192.65,0.14,67.86,2037-11-26,189659,RM7 7PS,2,100%,COLD,EPN-S0000000H7001,ROMFORD NORTH PRIMARY 33/11kV,Primary Substation,33,"51.5857476335714, 0.168040522061275",KINGS GEORGE CLOSE,COLLIER ROW,183.1,200.4,158.1,212.4,ROMFORD,"30, 30","40, 40",that.cuts.player
,,Basildon Grid 33kV,,,,,,,,,,,,No,0.0,0.72,0.384,0.0,0.0,,,17.28,,,,,,18.0,16.896,Tilbury 1&7,,,,9.79,11.33,,,1.104,0.0,1.104,,18.0,23.0,18.0,23.0,,,,,,,,,,,,,,2023-09-15,0.0,0.0,0.31Ω 0.00Deg,Essex,1962-04-01,557303,TQ5730386692,0.0,ELP09356035-R01,Eastern Power Networks (EPN),Havering,E09000016,7.8,11.2,0.0,0.02,0.0,2039-11-26,186692,RM14 3LU,2,100%,COLD,EPN-S0000000H7004,CRANHAM PRIMARY 33/11KV,Primary Substation,33,"51.5571815966734, 0.267711486430724",ST MARYS LANE,CRANHAM,0.0,0.0,0.0,0.0,UPMINSTER,"18, 18","23, 23",buzz.fancy.elbow
,,Southend Grid 33kV,,,,,,,,,,,,No,0.0,0.168,0.2229504,0.0,0.0,,,17.28,,,,,,18.0,17.6090496,Rayleigh,,,,6.53,5.47,,,0.39095040000000003,0.0,0.39095040000000003,,18.0,21.0,18.0,21.0,,,,,,,,,,,,,,2023-06-13,366.0,720.0,0.33Ω 0.00Deg,Essex,1954-04-01,586591,TQ8659191521,0.0,ELP09356024,Eastern Power Networks (EPN),Rochford,E07000075,11.2,15.3,408.2,0.09,126.8,2039-11-26,191521,SS4 1SQ,2,100%,COLD,EPN-S0000000H7009,HAINAULT AV PRIMARY,Primary Substation,33,"51.5916342512394, 0.692293405037379",\N,\N,365.5,617.1,524.7,643.0,ROCHFORD,"18, 18","21, 21",dabbling.reserving.rips
,,-,,,,,,,,,,,,No,4.761904761904753,0.0,0.0,1.6,0.0,,,28.8,,,,,,30.0,28.4,West Thurrock,,,,10.75,17.47,,,0.0,1.6,1.6,,30.0,40.0,30.0,40.0,,,,,,,,,,,,,,2023-03-14,100.0,100.0,1.11Ω 0.00Deg,Essex,1977-04-01,559612,TQ5961277542,1.68,ELP09356005-R01,Eastern Power Networks (EPN),Thurrock,E06000034,18.8,21.8,32.86,0.03,0.04,2039-11-26,177542,RM20 4AL,2,100%,COLD,EPN-S0000000H7010,HEDLEY AV HSS,Primary Substation,33,"51.4743281429612, 0.296850411581145",HEDLEY AVENUE,WEST THURROCK,0.0,0.0,0.0,0.0,GRAYES,"30, 30","40, 40",wire.accent.dull
,,,,,,,,,,,,,,Yes,100.0,0.0,0.0,0.0,0.0,,,51.84,,,,,,16.9,16.9,,,,,33.5,42.91,,,0.0,0.0,0.0,,18.0,22.0,18.0,22.0,18.0,21.0,18.0,21.0,,,,,,,,,,2021-08-24,0.0,0.0,0.18Ω 0.00Deg,Essex,1963-04-01,556851,TQ5685177846,13.8,ELP05282034-R01,Eastern Power Networks (EPN),Thurrock,E06000034,"11.9, 7.2","11.5, 7.8",0.0,0.04,0.0,2037-11-26,177846,RM19 1SA,4,"16.9MVA, 100%",COLD,EPN-S0000000H7013,PURFLEET PRIMARY 33/11KV,Primary Substation,33,"51.4778309809557, 0.257263287761835",LONDON ROAD,PURFLEET,0.0,0.0,0.0,0.0,PURFLEET,"18, 18, 18, 18","22, 22, 21, 21",orbit.they.organs
,,Direct,,,,,,,,,,,,No,0.0,0.356352,0.3996192,0.0,0.0,,,17.28,,,,,,9.0,8.2440288,Barking West (EPN),,,,12.77,12.48,,,0.7559712000000001,0.0,0.7559712000000001,,18.0,22.0,18.0,21.0,,,,,,,,,,,,,,2021-04-08,400.0,400.0,0.53Ω 0.00Deg,Essex,1958-04-01,550480,TQ5048085369,0.0,ELP05282010-R01,Eastern Power Networks (EPN),Barking and Dagenham,E09000002,4.7,8,145.47,0.07,44.35,2037-11-26,185369,RM7 0SS,2,"<100%, 100%",COLD,EPN-S0000000H7016,MAY & BAKER PRIMARY,Primary Substation,33,"51.5471543752599, 0.168801360638651",RAINHAM RD SOUTH,\N,0.0,0.0,0.0,0.0,DAGENHAM,"18, 18","22, 21",will.planet.invent
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,14.4,,,,,,15.0,15.0,,,,,1.63,3.65,,,0.0,0.0,0.0,,15.0,20.0,15.0,20.0,,,,,,,,,,,,,,2021-02-19,0.0,0.0,0.13Ω 0.00Deg,Greater London,1954-04-01,537907,TQ3790793046,0.0,ELP05282006-R01,Eastern Power Networks (EPN),Waltham Forest,E09000031,13.3,16.2,0.0,0.04,0.0,2037-11-26,193046,E4 9TB,2,100%,COLD,EPN-S0000000H7019,SOUTH CHINGFORD PRIMARY 33/11kV,Primary Substation,33,"51.6193492874587, -0.00938849076082086",\N,\N,0.0,0.0,0.0,0.0,CHINGFORD,"15, 15","20, 20",remedy.leads.pilots
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,17.28,,,,,,9.0,9.0,,,,,6.05,7.78,,,0.0,0.0,0.0,,18.0,24.0,18.0,24.0,,,,,,,,,,,,,,2022-09-06,0.0,0.0,1.34Ω 0.00Deg,Hertfordshire,1957-04-01,548640,TL48641877,0.0,ELP07260033-R01,Eastern Power Networks (EPN),East Hertfordshire,E07000242,11.7,15.9,0.0,0.14,0.0,2038-11-26,218770,CM23 4AS,2,"<100%, 100%",COLD,EPN-S0000000H7020,THORLEY PRIMARY 33/11kV,Primary Substation,33,"51.8477438633511, 0.156507335423487",\N,\N,0.0,0.0,0.0,0.0,THORLEY,"18, 18","24, 24",sands.pink.focal
,,Tilbury Compact Grid 33kV,,,,,,,,,,,,No,4.942965779467677,0.0,0.51168,0.0,2.5,,,8.64,,,,,,9.0,5.98832,Tilbury,,,,2.02,3.07,,,0.51168,2.5,3.01168,,9.0,10.0,9.0,10.0,,,,,,,,,,,,,,2023-06-22,0.0,0.0,1.79Ω 0.00Deg,Essex,1955-04-01,567755,TQ6775578753,2.63,ELP09356018,Eastern Power Networks (EPN),Thurrock,E06000034,6.9,6.8,0.0,0.1,0.0,2039-11-26,178753,RM18 8SB,2,100%,COLD,EPN-S0000000H7024,BATA PRIMARY 33/11KV,Primary Substation,33,"51.4828533656379, 0.414566324166197",PRINCESS MARGARET RD,EAST TILBURY,71.0,48.3,40.1,53.9,EAST TILBURY,"9, 9","10, 10",wacky.tells.invest
,,Brimsdown North Grid 33kV,,,,,,,,,,,,No,0.0,0.1152,0.0,0.0,0.0,,,19.2,,,,,,20.0,19.8848,Brimsdown (EPN),,,,0.19,5.76,,,0.1152,0.0,0.1152,,20.0,24.0,20.0,24.0,,,,,,,,,,,,,,2021-03-12,720.0,720.0,0.77Ω 0.00Deg,Middlesex,1965-04-01,534517,TQ3451796592,0.0,ELP05282007-R01,Eastern Power Networks (EPN),Enfield,E09000010,19.8,18,204.9,0.13,71.22,2037-11-26,196592,EN1 1TH,2,100%,COLD,EPN-S0000000H7028,EAST ENFIELD PRIMARY 33/11kV,Primary Substation,33,"51.6520335965585, -0.0569634759424909",\N,\N,-69.8,190.5,147.1,206.6,ENFIELD EN2,"20, 20","24, 24",crowd.libraries.surely
,,North Harlow 33kV,,,,,,,,,,,,No,0.0,1.0176,0.1421184,0.0,0.0,,,48.0,,,,,,30.0,28.8402816,Rye House,,,,20.54,42.91,,,1.1597184,0.0,1.1597184,,30.0,40.0,30.0,40.0,20.0,40.0,,,,,,,,,,,,2012-10-17,240.0,480.0,0.12Ω 0.00Deg,Essex,1963-04-01,545675,TL4567511234,0.0,P-12-2059-01,Eastern Power Networks (EPN),Harlow,E07000073,28.6,35.3,274.6,\N,97.29,2040-11-22,211234,CM20 2AB,3,100%,COLD,EPN-S0000000H7032,NEW HARLOW PRIMARY 33/11kV,Primary Substation,33,"51.7808147754037, 0.110328154033663",\N,\N,-60.5,274.6,215.4,274.0,HARLOW,"30, 30, 20","40, 40, 40",apples.before.event
,,Fleethall Grid 33kV,,,,,,,,,,,,Yes,5.1094890510948945,0.3648,0.1058592,0.0,2.6,,,27.84,,,,,,14.5,11.4293408,Rayleigh,,,,9.7,11.42,,,0.4706592,2.6,3.0706592,,29.0,38.0,29.0,38.0,,,,,,,,,,,,,,2023-05-10,366.0,720.0,1.94Ω 0.00Deg,Essex,1958-04-01,591811,TQ9181185646,2.74,ELP09358016,Eastern Power Networks (EPN),Southend-on-Sea,E06000033,18.9,26.1,408.2,0.06,126.8,2039-11-26,185646,SS1 3PW,2,"100%,  <100%",COLD,EPN-S0000000H7036,THORPE BAY PRIMARY,Primary Substation,33,"51.5371200975242, 0.764354408394138",\N,\N,365.5,617.1,524.7,643.0,SHOEBURYNESS,"29, 29","38, 38",rang.fats.worm
,,Rayleigh Local 33kV,,,,,,,,,,,,No,0.0,0.13248,0.048,0.0,0.0,,,14.4,,,,,,15.0,14.81952,Rayleigh,,,,3.55,4.03,,,0.18047999999999997,0.0,0.18047999999999997,,15.0,20.0,15.0,20.0,,,,,,,,,,,,,,2020-11-27,366.0,720.0,0.61Ω 0.00Deg,Essex,1952-04-01,574801,TQ7480193757,0.0,ELP03607038-R01,Eastern Power Networks (EPN),Basildon,E07000066,11.3,15.8,408.2,0.05,126.8,2036-11-26,193757,SS11 7HG,2,100%,COLD,EPN-S0000000H7037,WICKFORD PRIMARY 33/11KV,Primary Substation,33,"51.6154977471396, 0.523386328428622",\N,WICKFORD,365.5,617.1,524.7,643.0,WICKFORD NORTH,"15, 15","20, 20",bossy.settle.wasp
,,Rye House Grid 33kV,,,,,,,,,,,,Yes,5.06329113924051,0.6719999999999999,0.31679999999999997,0.0,3.0,,,17.28,,,,,,17.5,13.5112,Rye House,,,,6.62,5.76,,,0.9887999999999999,3.0,3.9888,,18.0,24.0,18.0,22.0,,,,,,,,,,,,,,2014-03-13,240.0,480.0,0.21Ω 0.00Deg,Hertfordshire,1967-04-01,537248,TL3724807045,3.16,P-14-3459-01,Eastern Power Networks (EPN),Broxbourne,E07000095,11.1,16,274.6,\N,97.29,2040-11-22,207045,EN10 6QS,2,"100%,  17.5MVA",COLD,EPN-S0000000H7040,BROXBOURNE PRIMARY 33/11kV,Primary Substation,33,"51.7453022828863, -0.0134025833930495",\N,\N,-60.5,274.6,215.4,274.0,BROXBOURNE,"18, 18","24, 22",elbow.lime.signal
